instant_book,rating_checkin,person_capacity,rating_value,is_superhost,amenities,rev_count,cancel_policy,price,nightly_price,rating_cleanliness,host_id,response_time,bed_type,accuracy_rating,rating_communication,satisfaction_guest,hosting_id,url,rating_location,response_rate,room_type
True,10,3,10,True,"[1, 4, 5, 8, 28, 31, 39, 40, 44]",57,4,35.254263362167045,R$110,10,10330472,78.5,Real Bed,10,10,97,10966508,https://www.airbnb.com.br/rooms/10966508,10,1.0,Entire home/apt
False,10,4,10,False,"[1, 4, 5, 7, 8, 9, 21, 33, 40, 41, 42, 44, 46, 47, 49, 50]",2,3,19.229598197545663,R$60,10,27863978,1367.0,Real Bed,10,10,100,17436152,https://www.airbnb.com.br/rooms/17436152,10,1.0,Private room
True,10,4,10,True,"[1, 3, 4, 5, 7, 8, 9, 14, 21, 28, 31, 38, 39, 40, 44, 45, 46, 47, 51, 55, 57]",22,5,33.33130354241248,R$104,10,16060717,580.5,Real Bed,10,10,98,10572748,https://www.airbnb.com.br/rooms/10572748,10,1.0,Entire home/apt
True,,2,,False,"[4, 37, 46, 49]",0,5,19.229598197545663,R$60,,9568267,3849.0,Real Bed,,,,16401617,https://www.airbnb.com.br/rooms/16401617,,1.0,Private room
True,9,4,10,False,"[1, 4, 5, 6, 7, 8, 9, 14, 15, 21, 31, 33, 35, 36, 39, 40, 42, 43, 44, 47, 57]",10,4,28.844397296318494,R$90,10,13818156,241.0,Real Bed,10,10,98,16475792,https://www.airbnb.com.br/rooms/16475792,10,1.0,Entire home/apt
True,10,4,10,True,"[1, 3, 4, 5, 8, 9, 14, 21, 28, 31, 33, 37, 39, 40, 43, 44, 45, 46, 47, 51, 52, 56, 57]",20,4,35.254263362167045,R$110,10,9560116,33.5,Real Bed,10,10,99,16028076,https://www.airbnb.com.br/rooms/16028076,10,1.0,Entire home/apt
True,10,4,10,True,"[1, 4, 5, 8, 9, 14, 21, 28, 31, 38, 39, 40, 43, 44, 45, 46, 47, 50, 51, 55]",28,5,41.6641294280156,R$130,10,25125762,352.0,Real Bed,10,10,100,12836178,https://www.airbnb.com.br/rooms/12836178,10,1.0,Entire home/apt
False,10,1,10,False,"[2, 3, 4, 8, 9, 11, 17, 18, 28, 33, 40, 42, 43, 45, 46, 47, 49, 50]",22,4,16.024665164621386,R$50,10,64072728,531.5,Real Bed,10,10,99,11987343,https://www.airbnb.com.br/rooms/11987343,10,1.0,Private room
True,10,2,10,True,"[3, 4, 7, 8, 9, 14, 15, 21, 25, 28, 30, 31, 32, 33, 34, 39, 40, 41, 42, 43, 44, 46, 47]",28,5,19.55009150083809,R$61,10,85277460,4760.5,Real Bed,10,10,97,14133856,https://www.airbnb.com.br/rooms/14133856,10,1.0,Private room
True,10,3,10,False,"[4, 8, 9, 11, 31, 40, 41, 44, 46, 47, 50]",2,3,25.639464263394217,R$80,10,64623944,846.0,Real Bed,9,10,100,15025041,https://www.airbnb.com.br/rooms/15025041,10,1.0,Entire home/apt
True,9,2,9,False,"[3, 4, 8, 9, 11, 12, 31, 32, 33, 34, 40, 43, 44, 45, 46, 47]",96,5,32.00392581489996,R$100,9,4870172,763.0,Real Bed,9,9,90,1204374,https://www.airbnb.com.br/rooms/1204374,9,1.0,Private room
True,10,5,9,True,"[1, 3, 4, 5, 8, 14, 25, 28, 31, 35, 36, 39, 40, 41, 43, 44, 45, 46, 47, 51, 55]",14,5,95.82749768443588,R$299,10,30552172,225.0,Real Bed,10,10,96,6403764,https://www.airbnb.com.br/rooms/6403764,10,1.0,Entire home/apt
False,10,1,10,False,"[1, 2, 3, 4, 16, 28, 31, 33, 34, 40, 45, 46, 49, 50]",3,5,12.819732131697108,R$40,10,96086911,233.0,Real Bed,10,10,100,17130623,https://www.airbnb.com.br/rooms/17130623,10,1.0,Private room
False,10,4,9,False,"[1, 3, 4, 5, 6, 7, 8, 9, 11, 15, 21, 33, 35, 36, 39, 40, 41, 43, 44, 45, 46, 47, 49, 50, 51, 55]",25,5,38.459196395091325,R$120,9,13215783,2980.5,Real Bed,10,10,93,2580631,https://www.airbnb.com.br/rooms/2580631,9,1.0,Entire home/apt
